Year,GDP_Growth,5Y_Moving_Average,Decade,Inflation,Population,Population_Growth,GDP_Per_Capita,GDP_Per_Capita_Growth
2000,3.8409911568655417,,2000,4.0094359104519,1057922733,,442.750218937263,
2001,4.823966263973034,,2000,3.77929312235637,1077898575,1.8882137018980227,450.357900514128,1.7182784449267574
2002,3.803975321200383,,2000,4.29715203929562,1097600380,1.827797666399178,469.149928973927,4.172687642061135
2003,7.860381475450453,,2000,3.80585899528853,1116803006,1.7495097805997561,544.143133545002,15.98491227209431
2004,7.922936613079784,5.650450166113839,2000,3.76725173477517,1135991513,1.718163982090859,624.258826510066,14.72327555493047
2005,7.923430621317891,6.466938059004309,2000,4.24634362031924,1154676322,1.6448018128811581,710.488080408949,13.813061223491175
2006,8.060732573050572,7.114291320819817,2000,5.79652337561634,1172878890,1.5764216909264661,801.668353659022,12.833469802560327
2007,7.660815065107656,7.8856592696012715,2000,6.37288135593231,1190676021,1.5173886367756184,1021.88707706826,27.47005322139795
2008,3.0866980595008187,6.930922586411344,2000,8.34926704907575,1207930964,1.449171957415274,992.519584923828,-2.8738490586147525
2009,7.861888833033802,6.918713030402148,2000,10.8823529411764,1225524753,1.4565227255818547,1094.94974598436,10.320215602435013
2010,8.497584701656251,7.03354384646982,2010,11.9893899204245,1243481564,1.4652344602622547,1347.51939071367,23.06677960843304
2011,5.2413162002429345,6.4696605719082925,2010,8.9117933648336,1261224954,1.4269121886233194,1445.46127486037,7.268309815922436
2012,5.4563875516477225,6.028775069216306,2010,9.47899691419793,1278674502,1.383539704369019,1429.32199520032,-1.1165487405817132
2013,6.386106400917129,6.688656737499568,2010,10.0178784746104,1295829511,1.3416243909742054,1432.84397512195,0.2464091319840378
2014,7.410227605169766,6.5983244919267605,2010,6.66565671867899,1312277191,1.269278084839054,1553.88396075118,8.44753425570486
2015,7.996253785679869,6.498058308731484,2010,4.90697344127249,1328024498,1.1999985298837723,1583.99815907985,1.9379953129905703
2016,8.256305501766619,7.101056169036221,2010,4.94821634062134,1343944296,1.1987578560467282,1707.50892912243,7.7974061607702705
2017,6.795383419024219,7.36885534251152,2010,3.32817337461305,1359657400,1.1691782201663559,1950.10468280866,14.207583313248717
2018,6.453851344952952,7.382404331318685,2010,3.93882646691643,1374659064,1.103341474109576,1966.25455171679,0.8281539473496302
2019,3.8714369407052374,6.674646198425779,2010,3.72950573539123,1389030312,1.0454408934083226,2041.42863698585,3.823212269409537
2020,-5.77772470687303,3.9198504999151993,2020,6.6234367762853,1402617695,0.9781919719546117,1907.04251637669,-6.582944814939995
2021,9.68959249191741,4.206507897945357,2020,5.13140747176364,1414203896,0.8260412685011875,2239.61384367482,17.439114463478433
2022,7.609364977693204,4.369304209679155,2020,6.69903414079858,1425423212,0.7933308649292536,2279.98145719369,1.8024363277123534
2023,7.210224629335002,4.520578866555565,2020,5.64914318907925,1438069596,0.887202052943703,2434.44826340989,6.774915020858341
2024,7.099278931765184,5.166147264767554,2020,4.95303550973661,1450935791,0.8946851415110535,2591.9916607122,6.471421047233172
2025,7.566661792842439,7.835024564710648,2020,2.39884954182294,1463865525,0.8911306813300657,2702.47987141553,4.262676164358159
